measured_at,pin_id,saas_name,impressions,saves,pin_clicks,outbound_clicks,affiliate_clicks,conversions,notes
,batch1_pin1,teamwork_paymo,,,,,,,
,batch1_pin2,paymo,,,,,,,
,batch1_pin3,teamwork,,,,,,,
,batch1_pin4,teamwork_paymo,,,,,,,
,batch1_pin5,teamwork,,,,,,,
,batch1_pin6,teamwork_paymo,,,,,,,
,batch1_pin7,teamwork_paymo,,,,,,,
,batch1_pin8,paymo,,,,,,,
